Accession ID	Virus name	Location	Collection date	Originating lab	Submitting lab	Authors
EPI_ISL_412028	hCoV-19/Hong Kong/VM20001061/2020	Asia / Hong Kong	2020-01-22	Hong Kong Department of Health	School of Public Health, The University of Hon g Kong	Dominic N.C. Tsang, Daniel K.W. Chu, Leo L.M. Poon, Malik Peiris
EPI_ISL_412029	hCoV-19/Hong Kong/VM20001988/2020	Asia / Hong Kong	2020-01-30	Hong Kong Department of Health	The University of Hong Kong	Dominic N.C. Tsang, Daniel K.W. Chu, Leo L.M. Poon, Malik Peiris
EPI_ISL_412030	hCoV-19/Hong Kong/VB20026565/2020	Asia / Hong Kong	2020-02-01	Hong Kong Department of Health	School of Public Health, The University of Hon g Kong	Dominic N.C. Tsang, Daniel K.W. Chu, Leo L.M. Poon, Malik Peiris
EPI_ISL_412034	hCoV-19/Wuhan/Tongji-01/2020	Asia / China / Wuhan	2020-01	unknown	Department of Clinical Laboratory, Tongji Hospital	Liu,W., Zhang,Q., Song,H., Xiang,R., Sun,Z. and Liu,Y
EPI_ISL_412035	hCoV-19/Wuhan/Tongji-02/2020	Asia / China / Wuhan	2020-01	unknown	Department of Clinical Laboratory, Tongji Hospital	Liu,W., Zhang,Q., Song,H., Xiang,R., Sun,Z. and Liu,Y
EPI_ISL_412036	hCoV-19/Wuhan/Tongji-03/2020	Asia / China / Wuhan	2020-01	unknown	Department of Clinical Laboratory, Tongji Hospital	Liu,W., Zhang,Q., Song,H., Xiang,R., Sun,Z. and Liu,Y
EPI_ISL_412037	hCoV-19/Wuhan/Tongji-04/2020	Asia / China / Wuhan	2020-01	unknown	Department of Clinical Laboratory, Tongji Hospital	Liu,W., Zhang,Q., Song,H., Xiang,R., Sun,Z. and Liu,Y
EPI_ISL_412038	hCoV-19/Wuhan/Tongji-05/2020	Asia / China / Wuhan	2020-01	unknown	Department of Clinical Laboratory, Tongji Hospital	Liu,W., Zhang,Q., Song,H., Xiang,R., Sun,Z. and Liu,Y
EPI_ISL_412039	hCoV-19/Wuhan/Tongji-06/2020	Asia / China / Wuhan	2020-01	unknown	Department of Clinical Laboratory, Tongji Hospital	Liu,W., Zhang,Q., Song,H., Xiang,R., Sun,Z. and Liu,Y
EPI_ISL_412041	hCoV-19/Shenzhen/HKU-SZ-001/2020	Asia / China / Shenzhen	2020-01	unknown	University of Hong Kong-Shenzhen Hospital	Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y
EPI_ISL_412042	hCoV-19/Shenzhen/HKU-SZ-004/2020	Asia / China / Shenzhen	2020-01	unknown	University of Hong Kong-Shenzhen Hospital	Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y.
EPI_ISL_412043	hCoV-19/Shenzhen/HKU-SZ-001/2020	Asia / China / Shenzhen	2020-01	unknown	University of Hong Kong-Shenzhen Hospital	Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y.
EPI_ISL_412044	hCoV-19/Shenzhen/HKU-SZ-002b/2020	Asia / China / Shenzhen	2020-01	unknown	University of Hong Kong-Shenzhen Hospital	Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y.
EPI_ISL_412045	hCoV-19/Shenzhen/HKU-SZ-004/2020	Asia / China / Shenzhen	2020-01	unknown	University of Hong Kong-Shenzhen Hospital	Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y.
EPI_ISL_412046	hCoV-19/Shenzhen/HKU-SZ-005/2020	Asia / China / Shenzhen	2020-01	unknown	University of Hong Kong-Shenzhen Hospital	Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y.
EPI_ISL_412050	hCoV-19/China/HKU-SZ-007b/2020	Asia / China	2020-01	unknown	The University of Hong Kong- Shenzhen Hospital	Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y.
EPI_ISL_412049	hCoV-19/China/HKU-SZ-007a/2020	Asia / China	2020-01	unknown	University of Hong Kong- Shenzhen Hospital	Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y.
EPI_ISL_412051	hCoV-19/China/HKU-SZ-007c/2020	Asia / China	2020-01	unknown	The University of Hong Kong- Shenzhen Hospital	Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y.
EPI_ISL_412052	hCoV-19/China/HKU-SZ-007a/2020	Asia / China	2020-01	unknown	The University of Hong Kong- Shenzhen Hospital	Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y.
EPI_ISL_412053	hCoV-19/China/HKU-SZ-007b/2020	Asia / China	2020-01	unknown	The University of Hong Kong- Shenzhen Hospital	Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y.
EPI_ISL_412054	hCoV-19/China/HKU-SZ-007c/2020	Asia / China	2020-01	unknown	The University of Hong Kong- Shenzhen Hospital	Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y.
EPI_ISL_408668	hCoV-19/Vietnam/VR03-38142/2020	Asia / Vietnam / Thanh Hoa	2020-01-24	National Influenza Center - National Institute of Hygiene and Epidemiology (NIHE)	National Influenza Center - National Institute of Hygiene and Epidemiology (NIHE)	Ung Thi Hong Trang, Hoang Vu Mai Phuong, Nguyen Le Khanh Hang, Nguyen Vu Son, Le Thi Thanh, Vuong Duc Cuong, Nguyen Phuong Anh, Pham Thi Hien, Tran Thu Huong, Le Thi Quynh Mai,
EPI_ISL_412387	hCoV-19/Shandong/LY001/2020	Asia / China / Shandong / Linyi county	2020-01-21	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	Xiao-Lin Jiang, Wen-Kui Sun, Xiang-Na Zhao, Yang Hang, Zeng-Qiang Kou, Lin-Yao, Li-Jun Duan, Xiao Wei, Mai-Juan Ma, Dian-Ming Kang
EPI_ISL_412418	hCoV-19/Shandong/LY002/2020	Asia / China / Shandong / Linyi	2020-01-21	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	Xiao-Lin Jiang, Wen-Kui Sun, Xiang-Na Zhao, Yang Hang, Zeng-Qiang Kou, Lin-Yao, Li-Jun Duan, Xiao Wei, Dian-Ming Kang, Mai-Juan Ma
EPI_ISL_412419	hCoV-19/Shandong/LY003/2020	Asia / China / Shandong / Linyi	2020-01-23	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	Xiao-Lin Jiang, Wen-Kui Sun, Xiang-Na Zhao, Yang Hang, Zeng-Qiang Kou, Lin-Yao, Li-Jun Duan, Xiao Wei, Dian-Ming Kang, Mai-Juan Ma
EPI_ISL_412420	hCoV-19/Shandong/LY004/2020	Asia / China / Shandong / Linyi	2020-01-26	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	Xiao-Lin Jiang, Wen-Kui Sun, Xiang-Na Zhao, Yang Hang, Zeng-Qiang Kou, Lin-Yao, Li-Jun Duan, Xiao Wei, Dian-Ming Kang, Mai-Juan Ma
EPI_ISL_412421	hCoV-19/Shandong/LY005/2020	Asia / China / Shandong / Linyi	2020-01-24	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	Xiao-Lin Jiang, Wen-Kui Sun, Xiang-Na Zhao, Yang Hang, Zeng-Qiang Kou, Lin-Yao, Li-Jun Duan, Xiao Wei, Dian-Ming Kang, Mai-Juan Ma
EPI_ISL_412423	hCoV-19/Shandong/LY007/2020	Asia / China / Shandong / Linyi	2020-01-25	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	Xiao-Lin Jiang, Wen-Kui Sun, Xiang-Na Zhao, Yang Hang, Zeng-Qiang Kou, Lin-Yao, Li-Jun Duan, Xiao Wei, Dian-Ming Kang, Mai-Juan Ma
EPI_ISL_412424	hCoV-19/Shandong/LY008/2020	Asia / China / Shandong / Linyi	2020-01-30	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	Xiao-Lin Jiang, Wen-Kui Sun, Xiang-Na Zhao, Yang Hang, Zeng-Qiang Kou, Lin-Yao, Li-Jun Duan, Xiao Wei, Dian-Ming Kang, Mai-Juan Ma
EPI_ISL_412422	hCoV-19/Shandong/LY006/2020	Asia / China / Shandong / Linyi	2020-01-24	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	Xiao-Lin Jiang, Wen-Kui Sun, Xiang-Na Zhao, Yang Hang, Zeng-Qiang Kou, Lin-Yao, Li-Jun Duan, Xiao Wei, Dian-Ming Kang, Mai-Juan Ma
EPI_ISL_412425	hCoV-19/Shandong/LY-H13/2020	Asia / China / Shandong / Linyi	2020-01-26	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	Xiao-Lin Jiang, Wen-Kui Sun, Xiang-Na Zhao, Yang Hang, Zeng-Qiang Kou, Lin-Yao, Li-Jun Duan, Xiao Wei, Dian-Ming Kang, Mai-Juan Ma
EPI_ISL_412426	hCoV-19/Shandong/LY-H15/2020	Asia / China / Shandong / Linyi	2020-01-26	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	Xiao-Lin Jiang, Wen-Kui Sun, Xiang-Na Zhao, Yang Hang, Zeng-Qiang Kou, Lin-Yao, Li-Jun Duan, Xiao Wei, Dian-Ming Kang, Mai-Juan Ma
EPI_ISL_412459	hCoV-19/Jingzhou/HBCDC-HB-01/2020	Asia / China / Hubei / Jingzhou	2020-01-08	Jingzhou Center for Disease Control and Prevention	Hubei Provincial Center for Disease Control and Prevention	Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, Maoyi Chen,Jie Hu, Chunlin Mao, Yongzhong Jiang.
EPI_ISL_412860	hCoV-19/pangolin/China/MP789/2019	Asia / China	2019-03-19	unknown	SCSFRI, South China Sea Fisheries Research Institute, Chinese Academy of Fishery Sciences (SCSFRI, CAFS)	Jiang,J.-Z., Liu,P. and Chen,J.-P.
EPI_ISL_412116	hCoV-19/England/09c/2020	Europe / England	2020-02-09	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_412862	hCoV-19/USA/CA9/2020	North America / USA / California / Solano	2020-02-23	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Anna Uehara, Jing Zhang, Yan Li, Ying Tao, Clinton R. Paden, Haibin Wang, Shifaq Kamili, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Lijuan Wang, Janna' R. Murray, Jasmine Padilla, Justin Lee, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong
EPI_ISL_412869	hCoV-19/Korea/KCDC05/2020	Asia / South Korea /Seoul	2020-01-30	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Myung Guk Han
EPI_ISL_412870	hCoV-19/Korea/KCDC06/2020	Asia / South Korea/ Seoul	2020-01-30	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Myung Guk Han
EPI_ISL_412871	hCoV-19/Korea/KCDC07/2020	Asia / South Korea / Seoul	2020-01-31	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Myung Guk Han
EPI_ISL_412872	hCoV-19/Korea/KCDC12/2020	Asia / South Korea / Gyeonggi-do	2020-02-01	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Myung Guk Han
EPI_ISL_412873	hCoV-19/Korea/KCDC24/2020	Asia / South Korea / Chungcheongnam-do	2020-02-06	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Myung Guk Han
EPI_ISL_409025	hCoV-19/Hong Kong/VM20002302/2020	Asia / Hong Kong	2020-02-01	Queen Elizabeth Hospital	Hong Kong Department of Health	Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C.
EPI_ISL_409022	hCoV-19/Hong Kong/VB20024950/2020	Asia / Hong Kong	2020-01-29	Princess Margaret Hospital	Hong Kong Department of Health	Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C.
EPI_ISL_409020	hCoV-19/Hong Kong/VM20001988/2020	Asia / Hong Kong	2020-01-30	Queen Elizabeth Hospital	Hong Kong Department of Health	Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C.
EPI_ISL_409002	hCoV-19/Hong Kong/VM20001776/2020	Asia / Hong Kong	2020-01-29	Queen Mary Hospital	Hong Kong Department of Health	Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C.
EPI_ISL_409001	hCoV-19/Hong Kong/VM20001794/2020	Asia / Hong Kong	2020-01-29	Queen Mary Hospital	Hong Kong Department of Health	Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C.
EPI_ISL_409000	hCoV-19/Hong Kong/VM20001403/2020	Asia / Hong Kong	2020-01-26	Tuen Mun Hospital	Hong Kong Department of Health	Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C.
EPI_ISL_408999	hCoV-19/Hong Kong/VM20001464/2020	Asia / Hong Kong	2020-01-25	Prince of Wales Hospital	Hong Kong Department of Health	Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C.
EPI_ISL_408997	hCoV-19/Hong Kong/VB20019923/2020	Asia / Hong Kong	2020-01-24	Prince of Wales Hospital	Hong Kong Department of Health	Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C.
EPI_ISL_408996	hCoV-19/Hong Kong/VB20019871/2020	Asia / Hong Kong	2020-01-24	Prince of Wales Hospital	Hong Kong Department of Health	Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C.
EPI_ISL_408995	hCoV-19/Hong Kong/VM20001218/2020	Asia / Hong Kong	2020-01-24	Tuen Mun Hospital	Hong Kong Department of Health	Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C.
EPI_ISL_409026	hCoV-19/Hong Kong/VM20002343/2020	Asia / Hong Kong	2020-02-03	Queen Elizabeth Hospital	Hong Kong Department of Health	Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C.
EPI_ISL_408994	hCoV-19/Hong Kong/VB20017970/2020	Asia / Hong Kong	2020-01-21	Prince of Wales Hospital	Hong Kong Department of Health	Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C.
EPI_ISL_408975	hCoV-19/Hong Kong/VM20001061/2020	Asia / Hong Kong	2020-01-22	Queen Elizabeth Hospital	Hong Kong Department of Health	Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C.
EPI_ISL_409024	hCoV-19/Hong Kong/VB20026565/2020	Asia / Hong Kong	2020-01-31	Caritas Medical Centre	Hong Kong Department of Health	Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C.
EPI_ISL_408998	hCoV-19/Hong Kong/VM20001387/2020	Asia / Hong Kong	2020-01-25	Ruttonjee Hospital	Hong Kong Department of Health	Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C.
EPI_ISL_409027	hCoV-19/Hong Kong/VM20002345/2020	Asia / Hong Kong	2020-02-03	Tseung Kwan O Hospital	Hong Kong Department of Health	Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C.
EPI_ISL_409023	hCoV-19/Hong Kong/VM20002162/2020	Asia / Hong Kong	2020-01-31	Queen Elizabeth Hospital	Hong Kong Department of Health	Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C.
EPI_ISL_412898	hCoV-19/Wuhan/HBCDC-HB-02/2019	Asia / China / Hubei / Wuhan	2019-12-30	Wuhan Jinyintan Hospital	Hubei Provincial Center for Disease Control and Prevention	Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, Yongzhong Jiang.
EPI_ISL_412899	hCoV-19/Wuhan/HBCDC-HB-03/2019	Asia / China / Hubei / Wuhan	2019-12-30	Wuhan Jinyintan Hospital	Hubei Provincial Center for Disease Control and Prevention	Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, Yongzhong Jiang.
EPI_ISL_412900	hCoV-19/Wuhan/HBCDC-HB-04/2019	Asia / China / Hubei / Wuhan	2019-12-30	Wuhan Jinyintan Hospital	Hubei Provincial Center for Disease Control and Prevention	Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, Yongzhong Jiang.
EPI_ISL_412912	hCoV-19/Germany/Baden-Wuerttemberg-1/2020	Europe / Germany / Baden-Wuerttemberg	2020-02-25	State Health Office Baden-Wuerttemberg	Charité Universitätsmedizin Berlin, Institute of Virology	Victor M Corman, Julia Schneider, Barbara Mühlemann, Talitha Veith, Jörn Beheim-Schwarzbach, Terry Jones, Rainer Oehme, Silke Fischer, Christian Drosten
EPI_ISL_412964	hCoV-19/Brazil/SPBR-01/2020	South America / Brazil / Sao Paulo / Sao Paulo	2020-02-25	Hospital Israelita Albert Einstein	Instituto Adolfo Lutz Interdisciplinary Procedures Center Strategic Laboratory	Jaqueline Goes de Jesus, Claudio Tavares Sacchi, Daniela Bernardes Borges da Silva, Ingra Morales Claro, Flávia Cristina da Silva Sales, Claudia Regina Gonçalves, Joshua Quick, Maria do Carmo, Sampaio Tavares Timenetsky, Nicholas James Loman, Andrew Rambaut, Ester Cerdeira Sabino, Nuno Rodrigues Faria
EPI_ISL_412966	hCoV-19/China/IQTC01/2020	Asia / China / Guangdong / Guangzhou	2020-02-05	unknown	Technology Centre, Guangzhou Customs	Shi,Y., Sun,J., Zheng,K., Huang,J. and Zhao,J.
EPI_ISL_412967	hCoV-19/China/IQTC02/2020	Asia / China / Guangzhou	2020-01-29	unknown	Technology Centre, Guangzhou Customs	Shi,Y., Zheng,K., Sun,J., Huang,J., Zhu,A., Zhuang,Z., Dai,J., Chen,Z., Sun,F., Zhang,Z., Li,X. and Wang,Y.
EPI_ISL_412968	hCoV-19/Japan/Hu_DP_Kng_19-020/2020	Asia / Japan	2020-02-10	unknown	Takayuki Hishiki Kanagawa Prefectural Institute of Public Health, Department of Microbiology	Hishiki,T., Suzuki,R., Sakuragi,J., Usui,K., Tanaka,Y., Kawai,J., Kogo,Y., Matsuki,Y., An,T., Hayashizaki,Y. and Takasaki,T.
EPI_ISL_412969	hCoV-19/Japan/Hu_DP_Kng_19-027/2020	Asia / Japan	2020-02-10	unknown	Takayuki Hishiki Kanagawa Prefectural Institute of Public Health, Department of Microbiology	Hishiki,T., Suzuki,R., Sakuragi,J., Usui,K., Tanaka,Y., Kawai,J., Kogo,Y., Matsuki,Y., An,T., Hayashizaki,Y. and Takasaki,T.
EPI_ISL_412971	hCoV-19/Finland/FIN-25/2020	Europe / Finland / Helsinki	2020-02-25	HUS Diagnostiikkakeskus, Hallinto	Department of Virology Faculty of Medicine, Medicum University of Helsinki	Teemu Smura, Suvi Kuivanen, Hannimari Kallio-Kokko, Olli Vapalahti
EPI_ISL_412970	hCoV-19/USA/WA2/2020	North America / USA / Washington / Snohomish County	2020-02-24	Washington State Department of Health	Seattle Flu Study	Helen Chu, Michael Boeckh, Janet Englund, Michael Famulare, Barry Lutz, Deborah Nickerson, Mark Rieder, Lea Starita, Matthew Thompson, Jay Shendure, and Trevor Bedford
EPI_ISL_412973	hCoV-19/Italy/CDG1/2020	Europe / Italy / Lombardy	2020-02-20	Department of Infectious Diseases, Istituto Superiore di Sanità, Roma , Italy	Virology Laboratory, Scientific Department, Army Medical Center	Paola Stefanelli, Stefano Fiore, Antonella Marchi, Eleonora Benedetti, Concetta Fabiani, Giovanni Faggioni, Antonella Fortunato, Riccardo De Santis, Silvia Fillo, Anna Anselmo, Andrea Ciammaruconi, Stefano Palomba, Florigio Lista
EPI_ISL_412972	hCoV-19/Mexico/CDMX/InDRE_01/2020	North America / Mexico / Mexico City	2020-02-27	Instituto Nacional de Enfermedades Respiratorias	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Ramirez-Gonzalez Ernesto, Garces-Ayala Fabiola, Araiza-Rodriguez Adnan, Mendieta-Condado Edgar, Rodriguez-Maldonado Abril, Wong-Arambula Claudia, Vazquez-Perez Joel, Martinez Arturo, Boukadida Celia, Munoz-Medina Esteban, Sanchez Alejandro, Isa Pavel, Taboada Blanca, Lopez Susana, Arias Carlos, Barrera-Badillo Gisela, Hernandez-Rivas Lucia, Lopez-Martinez Irma
EPI_ISL_412974	hCoV-19/Italy/SPL1/2020	Europe / Italy / Rome	2020-01-29	Department of Infectious Diseases, Istituto Superiore di Sanità, Rome, Italy	Virology Laboratory, Scientific Department, Army Medical Center	Paola Stefanelli, Stefano Fiore, Antonella Marchi, Eleonora Benedetti, Concetta Fabiani, Giovanni Faggioni, Antonella Fortunato, Silvia Fillo, Riccardo De Santis, Andrea Ciammaruconi, Giancarlo Petralito, Filippo Molinari, Florigio Lista
EPI_ISL_412975	hCoV-19/Australia/NSW05/2020	Oceania / Australia / New South Wales / Sydney	2020-02-28	Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Eden J-S, Carter I, Rahman H, Holmes EC, Rockett R, O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group
