sequenceID	source.name	length	isolate	host_species	collection_year	collection_month	collection_month_day	submission_year	submission_month	submission_month_day	place_sampled	m49_country.display_name	m49_country.m49_sub_region.display_name	m49_country.m49_region.display_name	gisaid_passage_details	gisaid_status_code	gisaid_status_comment	gisaid_originating_lab	gisaid_submitting_lab	gisaid_authors	analyse_variation	ref_tree_candidate	include_in_ref_tree	cdhit_cluster	num_ns	longest_n_run	num_bivalent_ambigs	num_trivalent_ambigs	num_hyphens	num_whitespace	num_other	uncorrected_illegals	num_unique_snps
EPI_ISL_416498	cov-gisaid	29864	France/IDF2256/2020	Human	2020	MAR	11	2020	MAR	22	Europe / France / Ile de France / Garches	France	Western Europe	Europe	Original	normal	-	Institut Médico légal- Hop R. Poincaré	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf	true	true	false	0	21	1	0	0	0	0	0	false	0
EPI_ISL_416499	cov-gisaid	29881	France/IDF2278/2020	Human	2020	MAR	11	2020	MAR	22	Europe / France / Ile de France / Longjumeau	France	Western Europe	Europe	Original	normal	-	LABM GH nord Essonne	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf	true	true	false	0	17	10	0	0	0	0	0	false	0
EPI_ISL_416500	cov-gisaid	29753	France/IDF2279/2020	Human	2020	MAR	11	2020	MAR	22	Europe / France / Ile de France / Longjumeau	France	Western Europe	Europe	Original	normal	Stretches of NNNs (1.18% of overall sequence).	LABM GH nord Essonne	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf	true	true	true	85	351	43	0	0	0	0	0	false	0
EPI_ISL_416501	cov-gisaid	29865	France/IDF2284/2020	Human	2020	MAR	10	2020	MAR	22	Europe / France / Ile de France / Levallois-Perret	France	Western Europe	Europe	Original	normal	-	Hopital franco britannique - Service des Urgences	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf	true	true	false	0	90	14	0	0	0	0	0	false	0
EPI_ISL_416502	cov-gisaid	29837	France/B2330/2020	Human	2020	FEB	26	2020	MAR	22	Europe / France / Bretagne / Rennes	France	Western Europe	Europe	Original	normal	-	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Gisèle Lagathu	true	true	false	0	44	24	0	0	0	0	0	false	1
EPI_ISL_416503	cov-gisaid	29873	France/B2334/2020	Human	2020	MAR	1	2020	MAR	22	Europe / France / Bretagne / Rennes	France	Western Europe	Europe	Original	normal	-	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Gisèle Lagathu	true	true	false	0	20	9	0	0	0	0	0	false	1
EPI_ISL_416504	cov-gisaid	29862	France/B2335/2020	Human	2020	MAR	2	2020	MAR	22	Europe / France / Bretagne / Rennes	France	Western Europe	Europe	Original	normal	-	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Gisèle Lagathu	true	true	false	0	115	34	0	0	0	0	0	false	0
EPI_ISL_416505	cov-gisaid	29868	France/B2336/2020	Human	2020	MAR	2	2020	MAR	22	Europe / France / Bretagne / Rennes	France	Western Europe	Europe	Original	normal	-	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Gisèle Lagathu	true	true	false	0	23	4	0	0	0	0	0	false	0
EPI_ISL_416506	cov-gisaid	29867	France/B2337/2020	Human	2020	MAR	3	2020	MAR	22	Europe / France / Bretagne / Rennes	France	Western Europe	Europe	Original	normal	-	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Gisèle Lagathu	true	true	false	0	18	5	0	0	0	0	0	false	0
EPI_ISL_416507	cov-gisaid	29877	France/B2340/2020	Human	2020	MAR	5	2020	MAR	22	Europe / France / Bretagne / Rennes	France	Western Europe	Europe	Original	normal	-	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Gisèle Lagathu	true	true	false	0	4	3	0	0	0	0	0	false	1
EPI_ISL_416508	cov-gisaid	29865	France/B2343/2020	Human	2020	MAR	6	2020	MAR	22	Europe / France / Bretagne / Rennes	France	Western Europe	Europe	Original	normal	-	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Gisèle Lagathu	true	true	true	115	251	16	0	0	0	0	0	false	0
EPI_ISL_416509	cov-gisaid	29871	France/B2344/2020	Human	2020	MAR	6	2020	MAR	22	Europe / France / Bretagne / Rennes	France	Western Europe	Europe	Original	normal	-	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Gisèle Lagathu	true	true	false	0	7	7	0	0	0	0	0	false	0
EPI_ISL_416510	cov-gisaid	29882	France/B2346/2020	Human	2020	MAR	6	2020	MAR	22	Europe / France / Bretagne / Rennes	France	Western Europe	Europe	Original	normal	-	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Gisèle Lagathu	true	true	false	0	29	18	0	0	0	0	0	false	0
EPI_ISL_416511	cov-gisaid	29837	France/B2348/2020	Human	2020	MAR	7	2020	MAR	22	Europe / France / Bretagne / Rennes	France	Western Europe	Europe	Original	normal	-	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Gisèle Lagathu	true	true	false	0	95	56	0	0	0	0	0	false	0
EPI_ISL_416512	cov-gisaid	29800	France/B2349/2020	Human	2020	MAR	7	2020	MAR	22	Europe / France / Bretagne / Rennes	France	Western Europe	Europe	Original	normal	-	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Gisèle Lagathu	true	true	false	0	32	2	0	0	0	0	0	false	0
EPI_ISL_416513	cov-gisaid	29881	France/B2351/2020	Human	2020	MAR	7	2020	MAR	22	Europe / France / Bretagne / Rennes	France	Western Europe	Europe	Original	normal	-	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Gisèle Lagathu	true	true	false	0	40	19	0	0	1	0	0	false	0
EPI_ISL_416514	cov-gisaid	29899	Australia/VIC08/2020	Human	2020	MAR	15	2020	MAR	22	Oceania / Australia / Victoria / Melbourne	Australia	Australia and New Zealand	Oceania	Original	normal	-	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Schultz M., Taiaroa, G., Druce J.	true	true	false	0	2	1	2	0	0	0	0	false	0
EPI_ISL_416515	cov-gisaid	29852	Australia/VIC09/2020	Human	2020	MAR	15	2020	MAR	22	Oceania / Australia / Victoria / Melbourne	Australia	Australia and New Zealand	Oceania	Original	normal	-	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Schultz M., Taiaroa, G., Druce J.	true	true	true	146	249	67	0	0	0	0	0	false	0
EPI_ISL_416516	cov-gisaid	29874	Australia/VIC10/2020	Human	2020	MAR	16	2020	MAR	22	Oceania / Australia / Victoria / Melbourne	Australia	Australia and New Zealand	Oceania	Original	normal	-	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Schultz M., Taiaroa, G., Druce J.	true	true	true	113	227	37	0	0	0	0	0	false	0
EPI_ISL_416517	cov-gisaid	29821	Australia/VIC11/2020	Human	2020	MAR	16	2020	MAR	22	Oceania / Australia / Victoria / Melbourne	Australia	Australia and New Zealand	Oceania	Original	normal	Stretches of NNNs (1.62% of overall sequence).	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Schultz M., Taiaroa, G., Druce J.	true	true	false	295	483	23	0	0	0	0	0	false	0
EPI_ISL_416518	cov-gisaid	29872	Australia/VIC12/2020	Human	2020	MAR	16	2020	MAR	22	Oceania / Australia / Victoria / Melbourne	Australia	Australia and New Zealand	Oceania	Original	normal	Stretches of NNNs (2.85% of overall sequence).	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Schultz M., Taiaroa, G., Druce J.	true	true	true	418	851	77	2	0	0	0	0	false	0
EPI_ISL_416519	cov-gisaid	29903	New Zealand/20VR0189/2020	Human	2020	MAR	2	2020	MAR	22	Oceania / New Zealand / Auckland	New Zealand	Australia and New Zealand	Oceania	Original	normal	-	Auckland Hospital	Institute of Environmental Science and Research (ESR)	Matt Storey, Xiaoyun Ren, Gary McAuliffe, Sally Roberts, Matthew Blakiston, Erasmus Smit, Lauren Jelly, Joep de Ligt	true	true	false	0	121	4	0	0	0	0	0	false	0
EPI_ISL_416520	cov-gisaid	29903	New Zealand/20VR019/2020	Human	2020	MAR	4	2020	MAR	22	Oceania / New Zealand / Auckland	New Zealand	Australia and New Zealand	Oceania	Original	normal	Stretches of NNNs (2.27% of overall sequence).	Auckland Hospital	Institute of Environmental Science and Research (ESR)	Matt Storey, Xiaoyun Ren, Gary McAuliffe, Sally Roberts, Matthew Blakiston, Erasmus Smit, Lauren Jelly, Joep de Ligt	true	true	true	342	678	64	0	0	0	0	0	false	0
EPI_ISL_416521	cov-gisaid	29899	Saudi Arabia/SCDC-3321/2020	Human	2020	MAR	10	2020	MAR	22	Asia / Saudi Arabia	Saudi Arabia	Western Asia	Asia	Original	normal	-	Public Health Laboratory	Public Health Laboratory, Saudi CDC	Albarrag, A	true	true	false	0	0	0	0	0	0	0	0	false	0
EPI_ISL_416522	cov-gisaid	29899	Saudi Arabia/SCDC-3324/2020	Human	2020	MAR	10	2020	MAR	22	Asia / Saudi Arabia	Saudi Arabia	Western Asia	Asia	Original	normal	-	Public Health Laboratory, Saudi CDC	Public Health Laboratory, Saudi CDC	Albarrag,A	true	true	false	0	0	0	0	0	0	0	0	false	0
EPI_ISL_416523	cov-gisaid	29870	USA/WI-03/2020	Human	2020	MAR	14	2020	MAR	22	North America / USA / Wisconsin	United States	Northern America	Americas	Original	normal	-	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Katarina Braun and Gage Moreno	true	true	false	0	0	0	0	0	0	0	0	false	1
EPI_ISL_416524	cov-gisaid	29875	Japan/SMU-0311S2/2020	Human	2020	MAR	11	2020	MAR	22	Asia / Japan / Saitama	Japan	Eastern Asia	Asia	Original	normal	-	Saitama Medical University Hospital	Saitama Medical University	Kazuo Imai	true	true	false	0	40	13	0	0	0	0	0	false	0
EPI_ISL_416525	cov-gisaid	29875	Japan/SMU-0311S3/2020	Human	2020	MAR	11	2020	MAR	22	Asia / Japan / Saitama	Japan	Eastern Asia	Asia	Original	normal	-	Saitama Medical University	Saitama Medical University	Kazuo Imai	true	true	false	0	29	2	0	0	0	0	0	false	0
EPI_ISL_416526	cov-gisaid	29903	New Zealand/20VR0206/2020	Human	2020	MAR	5	2020	MAR	22	Oceania / New Zealand / Auckland	New Zealand	Australia and New Zealand	Oceania	Original	normal	Stretches of NNNs (2.27% of overall sequence).	Auckland Hospital	Institute of Environmental Science and Research (ESR)	Matt Storey, Xiaoyun Ren, Gary McAuliffe, Sally Roberts, Matthew Blakiston, Erasmus Smit, Lauren Jelly, Joep de Ligt	true	true	false	342	678	64	0	0	0	0	0	false	0
EPI_ISL_416538	cov-gisaid	29903	New Zealand/20VR0275/2020	Human	2020	MAR	15	2020	MAR	23	Oceania / New Zealand / Wellington	New Zealand	Australia and New Zealand	Oceania	Original	normal	-	Wellington Hospital	Institute of Environmental Science and Research (ESR)	Wellington SCL, Wellington Hospital, Riddiford Street, Newtown, Wellington 6021, New Zealand	true	true	false	0	121	4	0	0	0	0	0	false	0
EPI_ISL_416539	cov-gisaid	29903	New Zealand/20VR0276/2020	Human	2020	MAR	15	2020	MAR	23	Oceania / New Zealand / Wellington	New Zealand	Australia and New Zealand	Oceania	Original	normal	-	Wellington Hospital	Institute of Environmental Science and Research (ESR)	Matt Storey, Xiaoyun Ren, Craig Thornley, Maxim Bloomfield, Erasmus Smit, Lauren Jelly, Joep de Ligt	true	true	false	0	121	4	0	0	0	0	0	false	0
EPI_ISL_416541	cov-gisaid	29902	Kuwait/KU09/2020	Human	2020	MAR	2	2020	MAR	23	Asia / Kuwait / Dasman	Kuwait	Western Asia	Asia	Original	normal	-	Dasman Diabetes Institute and Virology Laboratory Ministry of Health	Dasman Diabetes Institute	Fahd Al-Mulla, Sumi John, Rasheeba Iqbal, Motasem Melhem, Ebaa AlOzairi, Sara Al-Qabandi, Qais Al-Duwairi	true	true	false	0	0	0	0	0	0	0	0	false	2
EPI_ISL_416542	cov-gisaid	29893	Kuwait/KU17/2020	Human	2020	MAR	2	2020	MAR	23	Asia / Kuwait / Dasman	Kuwait	Western Asia	Asia	Original	normal	-	Dasman Diabetes Institute	Dasman Diabetes Institute	Fahd Al-Mulla, Sumi John, Rasheeba Iqbal, Motasem Melhem, Ebaa AlOzairi, Sara Al-Qabandi, Qais Al-Duwairi	true	true	false	0	0	0	0	0	0	0	0	false	0
EPI_ISL_416543	cov-gisaid	29896	Kuwait/KU18/2020	Human	2020	MAR	2	2020	MAR	23	Asia / Kuwait / Dasman	Kuwait	Western Asia	Asia	Original	normal	-	Dasman Diabetes Institute	Dasman Diabetes Institute	Fahd Al-Mulla, Rasheeba Iqbal, Sumi John, Motasem Melhem, Ebaa AlOzairi, Sara Al-Qabandi, Qais Al-Duwairi	true	true	false	0	0	0	3	0	0	0	0	false	3
EPI_ISL_416565	cov-gisaid	29766	Japan/DP0005/2020	Human	2020	FEB	15	2020	MAR	23	Asia / Japan / unknown	Japan	Eastern Asia	Asia	Original	normal	-	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda	true	true	false	0	0	0	0	0	0	0	0	false	0
EPI_ISL_416566	cov-gisaid	29831	Japan/DP0027/2020	Human	2020	FEB	15	2020	MAR	23	Asia / Japan / unknown	Japan	Eastern Asia	Asia	Original	normal	-	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda	true	true	false	0	0	0	0	0	0	0	0	false	2
EPI_ISL_416567	cov-gisaid	29809	Japan/DP0037/2020	Human	2020	FEB	15	2020	MAR	23	Asia / Japan / unknown	Japan	Eastern Asia	Asia	Original	normal	-	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda	true	true	false	0	0	0	0	0	0	0	0	false	1
EPI_ISL_416568	cov-gisaid	29819	Japan/DP0058/2020	Human	2020	FEB	15	2020	MAR	23	Asia / Japan / unknown	Japan	Eastern Asia	Asia	Original	normal	Stretches of NNNs (1.18% of overall sequence). Gap of 15 nucleotides when compared to the reference sequence. 0.07%UniqueMutations relative to the reference sequence.	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda	true	true	true	156	351	30	0	0	0	0	0	false	0
EPI_ISL_416569	cov-gisaid	29832	Japan/DP0059/2020	Human	2020	FEB	15	2020	MAR	23	Asia / Japan / unknown	Japan	Eastern Asia	Asia	Original	normal	-	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda	true	true	false	0	0	0	0	0	0	0	0	false	0
EPI_ISL_416570	cov-gisaid	29790	Japan/DP0065/2020	Human	2020	FEB	15	2020	MAR	23	Asia / Japan / unknown	Japan	Eastern Asia	Asia	Original	normal	-	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda	true	true	false	0	0	0	0	0	0	0	0	false	0
EPI_ISL_416571	cov-gisaid	29832	Japan/DP0077/2020	Human	2020	FEB	15	2020	MAR	23	Asia / Japan / unknown	Japan	Eastern Asia	Asia	Original	normal	-	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda	true	true	false	0	0	0	0	0	0	0	0	false	0
EPI_ISL_416572	cov-gisaid	29832	Japan/DP0078/2020	Human	2020	FEB	15	2020	MAR	23	Asia / Japan / unknown	Japan	Eastern Asia	Asia	Original	normal	-	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda	true	true	false	0	0	0	0	0	0	0	0	false	0
EPI_ISL_416573	cov-gisaid	29832	Japan/DP0104/2020	Human	2020	FEB	15	2020	MAR	23	Asia / Japan / unknown	Japan	Eastern Asia	Asia	Original	normal	-	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda	true	true	false	0	0	0	0	0	0	0	0	false	0
EPI_ISL_416574	cov-gisaid	29872	Japan/DP0107/2020	Human	2020	FEB	15	2020	MAR	23	Asia / Japan / unknown	Japan	Eastern Asia	Asia	Original	normal	-	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda	true	true	false	0	0	0	0	0	0	0	0	false	0
EPI_ISL_416575	cov-gisaid	29832	Japan/DP0121/2020	Human	2020	FEB	15	2020	MAR	23	Asia / Japan / unknown	Japan	Eastern Asia	Asia	Original	normal	-	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda	true	true	false	0	0	0	0	0	0	0	0	false	0
EPI_ISL_416576	cov-gisaid	29832	Japan/DP0133/2020	Human	2020	FEB	15	2020	MAR	23	Asia / Japan / unknown	Japan	Eastern Asia	Asia	Original	normal	-	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda	true	true	false	0	0	0	0	0	0	0	0	false	0
EPI_ISL_416577	cov-gisaid	29872	Japan/DP0134/2020	Human	2020	FEB	15	2020	MAR	23	Asia / Japan / unknown	Japan	Eastern Asia	Asia	Original	normal	-	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda	true	true	false	0	0	0	0	0	0	0	0	false	0
EPI_ISL_416578	cov-gisaid	29832	Japan/DP0152/2020	Human	2020	FEB	15	2020	MAR	23	Asia / Japan / unknown	Japan	Eastern Asia	Asia	Original	normal	-	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda	true	true	false	0	0	0	0	0	0	0	0	false	0
EPI_ISL_416579	cov-gisaid	29832	Japan/DP0158/2020	Human	2020	FEB	15	2020	MAR	23	Asia / Japan / unknown	Japan	Eastern Asia	Asia	Original	normal	-	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda	true	true	false	0	0	0	0	0	0	0	0	false	2
EPI_ISL_416580	cov-gisaid	29832	Japan/DP0184/2020	Human	2020	FEB	15	2020	MAR	23	Asia / Japan / unknown	Japan	Eastern Asia	Asia	Original	normal	-	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda	true	true	false	0	0	0	0	0	0	0	0	false	0
EPI_ISL_416581	cov-gisaid	29832	Japan/DP0190/2020	Human	2020	FEB	15	2020	MAR	23	Asia / Japan / unknown	Japan	Eastern Asia	Asia	Original	normal	-	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda	true	true	false	0	0	0	0	0	0	0	0	false	2
